text,severity,department
Multiple potholes along Bharathi Park,1,0
Electrical hazard at Promenade Beach,1,2
Garbage bins not emptied at Promenade Beach,0,1
Streetlight pole fallen on Pondicherry Museum,1,2
Sanitation issue at Kamaraj Salai,2,1
Lamp post damaged at Sri Aurobindo Ashram,3,2
Broken road surface at Botanical Garden,0,0
Multiple streetlights out on Botanical Garden,0,2
Foul smell from waste at Dumas Street,2,1
Garbage dump on sidewalk near French War Memorial,0,1
Dark street due to lighting failure at Kamaraj Salai,2,2
Streetlight flickering on Auroville,1,2
Uncollected garbage for 3 days at Paradise Beach,1,1
Dangerous pothole on Promenade Beach causing accidents,2,0
Dark street due to lighting failure at Pondicherry Museum,1,2
Overflowing garbage bin at Bharathi Street,1,1
Waste overflow near Romain Rolland Street,0,1
Litter everywhere in Rock Beach,2,1
Waste overflow near ECR Road,1,1
Severe road damage on ECR Road,3,0
Dark street due to lighting failure at Mahatma Gandhi Road,2,2
Large pothole on ECR Road,1,0
No lights in the alley near Kamaraj Salai,1,2
Multiple streetlights out on Serenity Beach,3,2
Road surface cracked near Bharathi Street,3,0
Road surface cracked near Paradise Beach,1,0
Streetlight flickering on Promenade Beach,0,2
Road caving in near Sri Aurobindo Ashram,2,0
Large pothole on French War Memorial,1,0
Electrical hazard at Mission Street,1,2
Road caving in near Dumas Street,2,0
Deep crater in the middle of Botanical Garden,2,0
Road surface cracked near Nehru Street,1,0
Waste overflow near Auroville,1,1
Trash piling up on Romain Rolland Street,1,1
Severe road damage on ECR Road,2,0
Litter everywhere in ECR Road,1,1
Broken road surface at Bharathi Park,0,0
Garbage dump on sidewalk near Kamaraj Salai,2,1
Uncollected garbage for 3 days at Mission Street,1,1
Illegal dumping at Serenity Beach,3,1
Litter everywhere in ECR Road,2,1
Foul smell from waste at Sri Aurobindo Ashram,0,1
Foul smell from waste at Mission Street,1,1
Waste overflow near Nehru Street,2,1
Electrical hazard at Nehru Street,2,2
Multiple streetlights out on Rock Beach,3,2
Dangerous pothole on Kamaraj Salai causing accidents,2,0
